second,Volt,Volt
-6.63000E-03,-8.95411E-03,-6.99431E-03
-6.62000E-03,-8.92271E-03,-6.96290E-03
-6.61000E-03,-8.92271E-03,-6.96290E-03
-6.60000E-03,-9.01693E-03,-6.93150E-03
-6.59000E-03,-8.89130E-03,-7.11994E-03
-6.58000E-03,-8.89130E-03,-7.08853E-03
-6.57000E-03,-9.04833E-03,-7.11994E-03
-6.56000E-03,-8.98552E-03,-7.05713E-03
-6.55000E-03,-9.04833E-03,-6.99431E-03
-6.54000E-03,-8.95411E-03,-7.05713E-03
-6.53000E-03,-8.98552E-03,-6.99431E-03
-6.52000E-03,-8.98552E-03,-6.96290E-03
-6.51000E-03,-8.98552E-03,-6.96290E-03
-6.50000E-03,-8.98552E-03,-6.99431E-03
-6.49000E-03,-8.98552E-03,-6.96290E-03
-6.48000E-03,-9.01693E-03,-7.02572E-03
-6.47000E-03,-8.92271E-03,-6.93150E-03
-6.46000E-03,-8.92271E-03,-7.08853E-03
-6.45000E-03,-8.95411E-03,-7.02572E-03
-6.44000E-03,-8.95411E-03,-6.96290E-03
-6.43000E-03,-9.01693E-03,-7.02572E-03
-6.42000E-03,-8.92271E-03,-6.93150E-03
-6.41000E-03,-8.89130E-03,-6.96290E-03
-6.40000E-03,-8.92271E-03,-7.02572E-03
-6.39000E-03,-8.92271E-03,-6.96290E-03
-6.38000E-03,-8.95411E-03,-7.02572E-03
-6.37000E-03,-8.89130E-03,-6.96290E-03
-6.36000E-03,-8.92271E-03,-7.11994E-03
-6.35000E-03,-8.95411E-03,-7.02572E-03
-6.34000E-03,-8.98552E-03,-7.08853E-03
-6.33000E-03,-8.98552E-03,-6.99431E-03
-6.32000E-03,-8.98552E-03,-7.02572E-03
-6.31000E-03,-8.95411E-03,-7.02572E-03
-6.30000E-03,-9.01693E-03,-7.05713E-03
-6.29000E-03,-9.01693E-03,-7.05713E-03
-6.28000E-03,-8.95411E-03,-7.05713E-03
-6.27000E-03,-8.98552E-03,-6.99431E-03
-6.26000E-03,-8.95411E-03,-7.05713E-03
-6.25000E-03,-8.95411E-03,-7.08853E-03
-6.24000E-03,-9.11115E-03,-7.11994E-03
-6.23000E-03,-8.92271E-03,-7.08853E-03
-6.22000E-03,-8.95411E-03,-7.08853E-03
-6.21000E-03,-8.92271E-03,-7.02572E-03
-6.20000E-03,-8.85989E-03,-7.08853E-03
-6.19000E-03,-8.89130E-03,-7.11994E-03
-6.18000E-03,-9.01693E-03,-7.02572E-03
-6.17000E-03,-9.01693E-03,-7.05713E-03
-6.16000E-03,-9.04833E-03,-7.08853E-03
-6.15000E-03,-8.89130E-03,-7.02572E-03
-6.14000E-03,-8.89130E-03,-7.02572E-03
-6.13000E-03,-8.92271E-03,-7.08853E-03
-6.12000E-03,-8.92271E-03,-6.99431E-03
-6.11000E-03,-8.85989E-03,-7.08853E-03
-6.10000E-03,-8.89130E-03,-7.05713E-03
-6.09000E-03,-8.85989E-03,-7.02572E-03
-6.08000E-03,-8.79708E-03,-7.05713E-03
-6.07000E-03,-8.98552E-03,-7.08853E-03
-6.06000E-03,-8.95411E-03,-7.05713E-03
-6.05000E-03,-8.92271E-03,-6.99431E-03
-6.04000E-03,-8.98552E-03,-7.05713E-03
-6.03000E-03,-9.01693E-03,-6.99431E-03
-6.02000E-03,-8.95411E-03,-7.11994E-03
-6.01000E-03,-8.98552E-03,-7.02572E-03
-6.00000E-03,-8.98552E-03,-7.05713E-03
-5.99000E-03,-8.92271E-03,-7.02572E-03
-5.98000E-03,-9.01693E-03,-7.05713E-03
-5.97000E-03,-8.89130E-03,-7.08853E-03
-5.96000E-03,-8.89130E-03,-7.08853E-03
-5.95000E-03,-8.92271E-03,-7.05713E-03
-5.94000E-03,-8.98552E-03,-6.93150E-03
-5.93000E-03,-8.95411E-03,-7.08853E-03
-5.92000E-03,-8.92271E-03,-7.05713E-03
-5.91000E-03,-8.95411E-03,-7.05713E-03
-5.90000E-03,-9.01693E-03,-7.15135E-03
-5.89000E-03,-8.98552E-03,-7.05713E-03
-5.88000E-03,-8.92271E-03,-7.02572E-03
-5.87000E-03,-8.92271E-03,-7.02572E-03
-5.86000E-03,-9.01693E-03,-7.08853E-03
-5.85000E-03,-8.92271E-03,-7.05713E-03
-5.84000E-03,-8.92271E-03,-7.02572E-03
-5.83000E-03,-8.92271E-03,-6.99431E-03
-5.82000E-03,-8.95411E-03,-7.08853E-03
-5.81000E-03,-8.95411E-03,-7.05713E-03
-5.80000E-03,-8.95411E-03,-7.05713E-03
-5.79000E-03,-8.92271E-03,-7.05713E-03
-5.78000E-03,-8.95411E-03,-7.11994E-03
-5.77000E-03,-8.98552E-03,-7.05713E-03
-5.76000E-03,-8.92271E-03,-7.08853E-03
-5.75000E-03,-9.04833E-03,-7.05713E-03
-5.74000E-03,-8.95411E-03,-7.11994E-03
-5.73000E-03,-9.01693E-03,-7.02572E-03
-5.72000E-03,-8.92271E-03,-6.96290E-03
-5.71000E-03,-8.85989E-03,-6.99431E-03
-5.70000E-03,-8.98552E-03,-7.11994E-03
-5.69000E-03,-8.92271E-03,-7.05713E-03
-5.68000E-03,-8.98552E-03,-6.99431E-03
-5.67000E-03,-8.95411E-03,-6.99431E-03
-5.66000E-03,-9.07974E-03,-7.02572E-03
-5.65000E-03,-8.95411E-03,-7.08853E-03
-5.64000E-03,-8.98552E-03,-7.08853E-03
-5.63000E-03,-9.01693E-03,-7.08853E-03
-5.62000E-03,-8.89130E-03,-7.11994E-03
-5.61000E-03,-8.85989E-03,-7.11994E-03
-5.60000E-03,-9.07974E-03,-7.08853E-03
-5.59000E-03,-8.92271E-03,-7.11994E-03
-5.58000E-03,-8.92271E-03,-6.99431E-03
-5.57000E-03,-9.01693E-03,-7.02572E-03
-5.56000E-03,-9.04833E-03,-7.11994E-03
-5.55000E-03,-9.04833E-03,-7.08853E-03
-5.54000E-03,-8.98552E-03,-7.02572E-03
-5.53000E-03,-8.98552E-03,-7.15135E-03
-5.52000E-03,-8.98552E-03,-7.15135E-03
-5.51000E-03,-9.04833E-03,-7.11994E-03
-5.50000E-03,-9.01693E-03,-7.08853E-03
-5.49000E-03,-8.95411E-03,-7.05713E-03
-5.48000E-03,-8.95411E-03,-7.02572E-03
-5.47000E-03,-8.95411E-03,-7.08853E-03
-5.46000E-03,-8.98552E-03,-7.05713E-03
-5.45000E-03,-8.89130E-03,-7.02572E-03
-5.44000E-03,-9.04833E-03,-7.05713E-03
-5.43000E-03,-9.01693E-03,-7.11994E-03
-5.42000E-03,-9.07974E-03,-7.15135E-03
-5.41000E-03,-8.98552E-03,-7.05713E-03
-5.40000E-03,-8.95411E-03,-7.18275E-03
-5.39000E-03,-8.95411E-03,-7.08853E-03
-5.38000E-03,-9.01693E-03,-7.11994E-03
-5.37000E-03,-8.95411E-03,-7.11994E-03
-5.36000E-03,-8.98552E-03,-7.11994E-03
-5.35000E-03,-9.04833E-03,-7.02572E-03
-5.34000E-03,-9.07974E-03,-7.15135E-03
-5.33000E-03,-9.14256E-03,-7.18275E-03
-5.32000E-03,-8.92271E-03,-7.02572E-03
-5.31000E-03,-9.04833E-03,-6.93150E-03
-5.30000E-03,-9.01693E-03,-7.05713E-03
-5.29000E-03,-8.98552E-03,-7.05713E-03
-5.28000E-03,-8.95411E-03,-7.08853E-03
-5.27000E-03,-9.01693E-03,-7.08853E-03
-5.26000E-03,-9.07974E-03,-7.11994E-03
-5.25000E-03,-9.01693E-03,-7.18275E-03
-5.24000E-03,-8.98552E-03,-7.02572E-03
-5.23000E-03,-9.04833E-03,-7.08853E-03
-5.22000E-03,-8.92271E-03,-7.02572E-03
-5.21000E-03,-8.95411E-03,-7.05713E-03
-5.20000E-03,-8.92271E-03,-7.08853E-03
-5.19000E-03,-9.01693E-03,-7.11994E-03
-5.18000E-03,-8.92271E-03,-7.08853E-03
-5.17000E-03,-8.92271E-03,-7.08853E-03
-5.16000E-03,-9.11115E-03,-7.18275E-03
-5.15000E-03,-8.98552E-03,-7.08853E-03
-5.14000E-03,-9.04833E-03,-7.08853E-03
-5.13000E-03,-8.95411E-03,-7.15135E-03
-5.12000E-03,-8.95411E-03,-7.08853E-03
-5.11000E-03,-9.01693E-03,-6.99431E-03
-5.10000E-03,-8.92271E-03,-7.02572E-03
-5.09000E-03,-8.98552E-03,-7.05713E-03
-5.08000E-03,-9.01693E-03,-7.05713E-03
-5.07000E-03,-8.95411E-03,-7.11994E-03
-5.06000E-03,-8.95411E-03,-7.18275E-03
-5.05000E-03,-9.04833E-03,-7.08853E-03
-5.04000E-03,-9.01693E-03,-7.15135E-03
-5.03000E-03,-8.98552E-03,-7.11994E-03
-5.02000E-03,-8.95411E-03,-7.24557E-03
-5.01000E-03,-9.01693E-03,-7.05713E-03
-5.00000E-03,-9.04833E-03,-7.08853E-03
-4.99000E-03,-9.07974E-03,-7.08853E-03
-4.98000E-03,-9.01693E-03,-7.05713E-03
-4.97000E-03,-9.01693E-03,-7.11994E-03
-4.96000E-03,-9.01693E-03,-7.08853E-03
-4.95000E-03,-8.98552E-03,-7.11994E-03
-4.94000E-03,-9.04833E-03,-7.15135E-03
-4.93000E-03,-8.95411E-03,-7.08853E-03
-4.92000E-03,-8.98552E-03,-7.15135E-03
-4.91000E-03,-8.95411E-03,-7.08853E-03
-4.90000E-03,-8.95411E-03,-7.11994E-03
-4.89000E-03,-8.98552E-03,-7.05713E-03
-4.88000E-03,-8.95411E-03,-7.02572E-03
-4.87000E-03,-9.01693E-03,-6.99431E-03
-4.86000E-03,-8.92271E-03,-7.11994E-03
-4.85000E-03,-8.95411E-03,-7.15135E-03
